dataset,processed_table,market,start_date_or_month,end_date_or_month,expected_count,actual_count,coverage_ratio,missing_count,source,generated_at
symbol_master,symbol_master,TPEX,,,0,887,1.0,0,tpex_company_profile,2026-05-16T12:37:51+00:00
symbol_master,symbol_master,TWSE,,,0,1086,1.0,0,twse_company_profile,2026-05-16T12:37:51+00:00
prices_daily,prices_daily,TPEX,2024-01-02,2026-05-12,567,567,1.0,0,"finmind,tpex_official_daily,tpex_otc_daily",2026-05-16T12:37:51+00:00
prices_daily,prices_daily,TWSE,2024-01-02,2026-05-12,567,567,1.0,0,"finmind,twse_mi_index,twse_official_daily,yahoo_chart",2026-05-16T12:37:51+00:00
monthly_revenue,monthly_revenue,TPEX,202101,202604,64,64,1.0,0,official_mops,2026-05-16T12:37:51+00:00
monthly_revenue,monthly_revenue,TWSE,202101,202604,64,64,1.0,0,official_mops,2026-05-16T12:37:51+00:00
institutional_trading,institutional_trading_daily,TPEX,2024-01-02,2026-05-12,567,567,1.0,0,official_tpex,2026-05-16T12:37:51+00:00
institutional_trading,institutional_trading_daily,TWSE,2024-01-02,2026-05-12,567,7,0.0123,560,official_twse,2026-05-16T12:37:51+00:00
margin_short,margin_short_daily,TPEX,2024-01-02,2026-05-12,567,567,1.0,0,"tpex_margin;tpex_sbl,tpex_sbl",2026-05-16T12:37:51+00:00
margin_short,margin_short_daily,TWSE,2024-01-02,2026-05-12,567,4,0.0071,563,"twse_margin,twse_sbl",2026-05-16T12:37:51+00:00
surveillance,surveillance_daily,TPEX,2024-01-02,2026-05-12,567,567,1.0,0,official,2026-05-16T12:37:51+00:00
surveillance,surveillance_daily,TWSE,2024-01-02,2026-05-12,567,13,0.0229,554,official,2026-05-16T12:37:51+00:00
corporate_actions,corporate_actions,TPEX,,,0,70,1.0,0,tpex_exright_prepost,2026-05-16T12:37:51+00:00
corporate_actions,corporate_actions,TWSE,,,0,1154,1.0,0,"twse_t187ap45,twse_twt48u",2026-05-16T12:37:51+00:00
material_events,material_events,TPEX,,,0,219,1.0,0,tpex_t187ap04,2026-05-16T12:37:51+00:00
material_events,material_events,TWSE,,,0,854,1.0,0,twse_t187ap04,2026-05-16T12:37:51+00:00
financial_statement,financial_statement_quarterly,TPEX,,,0,18,1.0,0,official_mops,2026-05-16T12:37:51+00:00
financial_statement,financial_statement_quarterly,TWSE,,,0,465,1.0,0,official_mops,2026-05-16T12:37:51+00:00
insider_holding,insider_holding_monthly,TPEX,202101,202603,63,1,0.0159,62,tpex_t187ap11,2026-05-16T12:37:51+00:00
insider_holding,insider_holding_monthly,TWSE,202101,202603,63,1,0.0159,62,twse_t187ap11,2026-05-16T12:37:51+00:00
valuation,valuation_daily,TPEX,2024-01-02,2026-05-12,567,1,0.0018,566,tpex_market_value,2026-05-16T12:37:51+00:00
valuation,valuation_daily,TWSE,2024-01-02,2026-05-12,567,2,0.0035,565,twse_bwibbu,2026-05-16T12:37:51+00:00
trading_calendar,trading_calendar,TWSE,,,0,27,1.0,0,twse_holiday_schedule,2026-05-16T12:37:51+00:00
