rank,symbol,name,industry,score_total,score_revenue,score_expectation_gap,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,score_raw_available_norm,score_coverage_adjusted,score_cap,stage,entry_zone,reasons,risk_flags,last_close,ret_20d,ret_60d,volume_z_20,volume_expansion_ratio,rs_20d,rs_60d,breakout_flag,breakout_120d_flag,ma_alignment_bull_flag,mode,score_data_coverage_ratio,robot_slot_coverage_ratio,robot_slot_statuses,available_radars,degraded_radars,core_data_ready_flag,created_at
1,2597,潤弘,,55.95,55.0,100.0,66.0,,75.0,15.0,0.0,65.8235,55.95,100.0,S2,early_watch,"[""突破 60 日整理區"", ""成交量為 20 日均量 3.0 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]",[],184.5,0.1826923076923077,0.11818181818181817,2.0121662053392924,2.9726623996761954,,,1,0,0,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
2,2379,瑞昱,,49.85,55.0,100.0,38.0,,85.0,,0.0,66.4667,49.85,100.0,S1,watch_only,"[""成交量為 20 日均量 1.5 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",643.0,0.08614864864864868,0.3978260869565218,1.188808576529846,1.5078541544193529,,,0,0,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
3,2727,王品,,49.85,55.0,100.0,83.0,,95.0,,10.0,79.8,49.85,100.0,S1,watch_only,"[""突破 120 日整理區"", ""成交量為 20 日均量 1.9 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",246.0,0.049040511727078906,0.07423580786026207,2.113270571583029,1.8914228018232744,,,1,1,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
4,4771,望隼,,49.85,65.0,100.0,38.0,,45.0,15.0,0.0,58.6471,49.85,100.0,S1,watch_only,"[""成交量為 20 日均量 1.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]",[],196.0,0.023498694516971286,0.12643678160919536,0.8943966519424311,1.6950273219192782,,,0,0,1,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
5,3023,信邦,,47.85,55.0,100.0,83.0,,75.0,,10.0,77.1333,47.85,100.0,S1,watch_only,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.0 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",329.0,0.08760330578512399,0.45575221238938046,2.2142264904642137,2.0398699676876006,,,1,1,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
6,2615,萬海,,47.7,40.0,100.0,66.0,,95.0,50.0,10.0,67.8824,47.7,100.0,S1,watch_only,"[""突破 60 日整理區"", ""成交量為 20 日均量 2.0 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高""]",86.1,0.12549019607843137,0.08712125401048953,1.9319149245097154,2.0208979707532544,,,1,0,0,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
7,5386,青雲,,45.1,80.0,100.0,38.0,,75.0,,10.0,73.4667,45.1,100.0,S1,watch_only,"[""成交量為 20 日均量 1.4 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",511.0,0.08723404255319145,0.6248012718600955,0.5059009344723014,1.3886157543974653,,,0,0,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
8,2855,統一證,,44.35,65.0,75.0,83.0,,30.0,35.0,10.0,63.9412,44.35,100.0,S1,watch_only,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.9 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高""]",59.1,0.47750000000000004,0.9898989387820738,2.2116188358717004,2.905082043146926,,,1,1,1,full_short_term_radar,0.85,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip"", ""catalyst""]","[""theme_group""]",1,2026-06-09T08:14:56
9,6885,全福生技,,44.2,80.0,100.0,66.0,,10.0,,10.0,72.2667,44.2,100.0,S1,watch_only,"[""突破 60 日整理區"", ""成交量為 20 日均量 2.4 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",26.55,0.16447368421052633,0.06626507657621872,1.967145239424157,2.402728712227746,,,1,0,0,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
10,6021,美好證,,42.85,65.0,100.0,83.0,,0.0,,10.0,70.4667,42.85,100.0,S1,watch_only,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""注意股，短線風險升高"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",44.3,0.2675250357653789,0.41307814992025493,2.0458570752202965,2.6576105886450714,,,1,1,1,full_short_term_radar,0.75,1.0,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""installed"", ""CHIP_SLOT"": ""installed"", ""SURVEILLANCE_SLOT"": ""installed"", ""CATALYST_SLOT"": ""installed"", ""CORPORATE_SLOT"": ""installed"", ""FINANCIAL_SLOT"": ""installed"", ""VALUATION_SLOT"": ""installed"", ""CALENDAR_SLOT"": ""installed""}","[""revenue"", ""expectation_gap"", ""price_volume"", ""chip""]","[""theme_group"", ""catalyst""]",0,2026-06-09T08:14:56
